Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Park Accepted,Sens?,Record Status,Occurrence,Nativeness,Abundance,NPS Tags,References,Observations,Vouchers,T&E,State Status,GRank,SRank
REDW,Redwood National Park,Mammal,1,Cetacea,Balaenopteridae,92602,180526.0,Active,Balaenoptera borealis,Sei Whale,,Accepted,No,Approved,Present,Native,Occasional,Migratory,8.0,,,E,,G5?,CA: SNR
REDW,Redwood National Park,Mammal,1,Cetacea,Balaenopteridae,92604,180528.0,Active,Balaenoptera musculus,Blue Whale,,Accepted,No,Approved,Present,Native,Occasional,Migratory,6.0,,,E,,G3G4,CA: SNR
REDW,Redwood National Park,Mammal,1,Cetacea,Balaenopteridae,92603,180527.0,Active,Balaenoptera physalus,Fin Whale,,Accepted,No,Approved,Present,Native,Occasional,Migratory,20.0,,,E,,G3G4,CA: SNR
REDW,Redwood National Park,Mammal,1,Cetacea,Balaenopteridae,92607,180530.0,Active,Megaptera novaeangliae,Humpback Whale,,Accepted,No,Approved,Present,Native,Rare,Migratory,16.0,,,RT,,G4,CA: SNR
REDW,Redwood National Park,Mammal,1,Cetacea,Delphinidae,92504,180438.0,Active,Delphinus delphis,Common Dolphin,,Accepted,No,Approved,Present,Native,Uncommon,,6.0,,,,,G5,
REDW,Redwood National Park,Mammal,1,Cetacea,Delphinidae,92535,180466.0,Active,Globicephala macrorhynchus,Short-finned Pilot Whale,Globicephala scammonii,Accepted,No,Approved,Present,Native,Occasional,Migratory,4.0,,,,,G5,CA: SNR
REDW,Redwood National Park,Mammal,1,Cetacea,Delphinidae,92525,180457.0,Active,Grampus griseus,Grampus,,Accepted,No,Approved,Present,Native,Occasional,Migratory,5.0,,,,,G5,
REDW,Redwood National Park,Mammal,1,Cetacea,Delphinidae,92511,180444.0,Active,Lagenorhynchus obliquidens,Pacific White-Sided Dolphin,,Accepted,No,Approved,Present,Native,Occasional,Migratory,6.0,,,,,G5,CA: SNR
REDW,Redwood National Park,Mammal,1,Cetacea,Delphinidae,92522,180454.0,Active,Lissodelphis borealis,Northern Right Whale Dolphin,,Accepted,No,Approved,Probably Present,Native,,,3.0,,,,,G5,CA: SNR
REDW,Redwood National Park,Mammal,1,Cetacea,Delphinidae,92538,180469.0,Active,Orcinus orca,Killer Whale,,Accepted,No,Approved,Present,Native,Occasional,Migratory,6.0,,,E,,G4G5,CA: SNR
REDW,Redwood National Park,Mammal,1,Cetacea,Delphinidae,92532,180463.0,Active,Pseudorca crassidens,False Killer Whale,,Accepted,No,Approved,Present,Native,Occasional,Migratory,5.0,,,,,G4,
REDW,Redwood National Park,Mammal,1,Cetacea,Eschrichtiidae,92597,180521.0,Active,Eschrichtius robustus,Gray Whale,"Eschrichtius gibbosus, Eschrichtius glaucus",Accepted,No,Approved,Present,Native,Common,Migratory,22.0,,,DM,,G4,CA: SNR
REDW,Redwood National Park,Mammal,1,Cetacea,Hyperoodontidae,92568,180496.0,Active,Berardius bairdii,North Pacific Bottlenose Whale (Baird's Beaked),,Accepted,No,Approved,Present,Native,Occasional,Migratory,8.0,,,,,G4,CA: SNR
REDW,Redwood National Park,Mammal,1,Cetacea,Hyperoodontidae,92589,180514.0,Active,Mesoplodon stejnegeri,"Bering Sea beaked whale, Stejneger's Beaked Whale",,Accepted,No,Approved,Probably Present,Native,,,3.0,,,,,G3,CA: SNR
REDW,Redwood National Park,Mammal,1,Cetacea,Hyperoodontidae,92570,180498.0,Active,Ziphius cavirostris,Goosebeak Whale,,Accepted,No,Approved,Present,Native,Occasional,Migratory,5.0,,,,,G4,
REDW,Redwood National Park,Mammal,1,Cetacea,Kogiidae,92563,180491.0,Active,Kogia breviceps,Pygmy Sperm Whale,,Accepted,No,Approved,Present,Native,Occasional,Migratory,5.0,,,,,G4,CA: SNR
REDW,Redwood National Park,Mammal,1,Cetacea,Phocoenidae,92543,180473.0,Active,Phocoena phocoena,Harbor Porpoise,,Accepted,No,Approved,Present,Native,Common,Resident,11.0,,,SU,,G4G5,CA: SNR
REDW,Redwood National Park,Mammal,1,Cetacea,Phocoenidae,92551,180480.0,Active,Phocoenoides dalli,Dall Porpoise,,Accepted,No,Approved,Present,Native,Occasional,,6.0,,,,,G5,
REDW,Redwood National Park,Mammal,1,Cetacea,Physeteridae,92559,180488.0,Active,Physeter macrocephalus,Sperm Whale,Physeter catodon,Accepted,No,Approved,Present,Native,Occasional,Migratory,16.0,,,E,,G3G4,CA: SNR
REDW,Redwood National Park,Mammal,1,Chiroptera,Molossidae,89610,180088.0,Active,Tadarida brasiliensis,Mexican free-tailed Bat,Tadarida brasiliensis mexicana,Accepted,No,Approved,Probably Present,Native,,,15.0,,,,,G5,CA: SNR
REDW,Redwood National Park,Mammal,1,Chiroptera,Vespertilionidae,88728,180006.0,Active,Antrozous pallidus,Pallid Bat,,Accepted,No,Approved,Present,Native,Unknown,,17.0,,,SC,CA: SSC,G4,CA: S3
REDW,Redwood National Park,Mammal,1,Chiroptera,Vespertilionidae,115231,203452.0,Active,Corynorhinus townsendii,"mule-eared bat, Pacific Townsend's big-eared bat, Townsend's Big-eared Bat, western big-eared bat, western long-eared bat, western lump-nosed bat","Plecotus townsendii townsendii, Plecotus townsendii",Accepted,No,Approved,Present,Native,Unknown,,39.0,,,,CA: SSC,G4,CA: S2
REDW,Redwood National Park,Mammal,1,Chiroptera,Vespertilionidae,88730,180008.0,Active,Eptesicus fuscus,Big Brown Bat,,Accepted,No,Approved,Present,Native,Unknown,,22.0,,,SC,,G5,CA: SNR
REDW,Redwood National Park,Mammal,1,Chiroptera,Vespertilionidae,88733,180010.0,Active,Euderma maculatum,Spotted Bat,,Accepted,No,Approved,Probably Present,Native,,,7.0,,,SC,CA: SSC,G4,CA: S3
REDW,Redwood National Park,Mammal,1,Chiroptera,Vespertilionidae,88737,180014.0,Active,Lasionycteris noctivagans,Silver-Haired Bat,,Accepted,No,Approved,Present,Native,Unknown,,21.0,,,SC,,G3G4,CA: S3S4
